"journal","n","journal_match_text.x","Rank","Sourceid","Title","Type","Issn","SJR","SJR Best Quartile","H index","Total Docs. (2023)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","%Female","Overton","SDG","Country","Region","Publisher","Coverage","Categories","Areas","journal_match_text.y","match_fit"
"20 century British history",5,"20 century british history",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 Conference Proceedings of the 23rd Annual International Conference of the IEEE Engineering in Medicine and Biology Society",11,"2001 conference proceedings of 23rd annual international conference of ieee engineering in medicine and biology society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 IEEE International Conference on Systems, Man and Cybernetics. e-Systems and e-Man for Cybernetics in Cyberspace (Cat.No.01CH37236)",1,"2001 ieee international conference on systems man and cybernetics esystems and eman for cybernetics in cyberspace catno01ch37236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 IEEE Nuclear Science Symposium Conference Record (Cat. No.01CH37310)",2,"2001 ieee nuclear science symposium conference record cat no01ch37310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 IEEE Porto Power Tech Proceedings (Cat. No.01EX502)",4,"2001 ieee porto power tech proceedings cat no01ex502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 IEEE Power Engineering Society Winter Meeting. Conference Proceedings (Cat. No.01CH37194)",5,"2001 ieee power engineering society winter meeting conference proceedings cat no01ch37194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 IEEE Ultrasonics Symposium. Proceedings. An International Symposium (Cat. No.01CH37263)",1,"2001 ieee ultrasonics symposium proceedings an international symposium cat no01ch37263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 International Conferences on Info-Tech and Info-Net. Proceedings (Cat. No.01EX479)",1,"2001 international conferences on infotech and infonet proceedings cat no01ex479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2001 Power Engineering Society Summer Meeting. Conference Proceedings (Cat. No.01CH37262)",4,"2001 power engineering society summer meeting conference proceedings cat no01ch37262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 14th International Conference on Ion Implantation Technology Proceedings (IEEE Cat. No.02EX505)",1,"2002 14th international conference on ion implantation technology proceedings ieee cat no02ex505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 3rd International Conference on Microwave and Millimeter Wave Technology, 2002. Proceedings. ICMMT 2002.",2,"2002 3rd international conference on microwave and millimeter wave technology 2002 proceedings icmmt 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 Digest of Technical Papers. International Conference on Consumer Electronics (IEEE Cat. No.02CH37300)",3,"2002 digest of technical papers international conference on consumer electronics ieee cat no02ch37300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 IEEE International Conference on Industrial Technology, 2002. IEEE ICIT '02.",2,"2002 ieee international conference on industrial technology 2002 ieee icit 02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 IEEE International SOI Conference",8,"2002 ieee international soi conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 IEEE International Symposium on Electromagnetic Compatibility",6,"2002 ieee international symposium on electromagnetic compatibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 IEEE Power Engineering Society Winter Meeting. Conference Proceedings (Cat. No.02CH37309)",7,"2002 ieee power engineering society winter meeting conference proceedings cat no02ch37309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2002 International Zurich Seminar on Broadband Communications Access - Transmission - Networking (Cat. No.02TH8599)",1,"2002 international zurich seminar on broadband communications access transmission networking cat no02th8599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 Conference on Lasers and Electro-Optics Europe (CLEO/Europe 2003) (IEEE Cat. No.03TH8666)",6,"2003 conference on lasers and electrooptics europe cleoeurope 2003 ieee cat no03th8666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 European Control Conference (ECC)",2,"2003 european control conference ecc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 European Quantum Electronics Conference. EQEC 2003 (IEEE Cat No.03TH8665)",1,"2003 european quantum electronics conference eqec 2003 ieee cat no03th8665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 IEEE 29th Annual Proceedings of Bioengineering Conference",1,"2003 ieee 29th annual proceedings of bioengineering conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 IEEE Bologna Power Tech Conference Proceedings,",4,"2003 ieee bologna power tech conference proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 IEEE International Symposium on Industrial Electronics ( Cat. No.03TH8692)",14,"2003 ieee international symposium on industrial electronics cat no03th8692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 IEEE Nuclear Science Symposium. Conference Record (IEEE Cat. No.03CH37515)",15,"2003 ieee nuclear science symposium conference record ieee cat no03ch37515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 IEEE Power Engineering Society General Meeting (IEEE Cat. No.03CH37491)",5,"2003 ieee power engineering society general meeting ieee cat no03ch37491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 IEEE Topical Conference on Wireless Communication Technology",2,"2003 ieee topical conference on wireless communication technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 Proceedings of the Bipolar/BiCMOS Circuits and Technology Meeting (IEEE Cat. No.03CH37440)",1,"2003 proceedings of bipolarbicmos circuits and technology meeting ieee cat no03ch37440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2003 Symposium on Applications and the Internet Workshops, 2003. Proceedings.",1,"2003 symposium on applications and internet workshops 2003 proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 43rd IEEE Conference on Decision and Control (CDC) (IEEE Cat. No.04CH37601)",1,"2004 43rd ieee conference on decision and control cdc ieee cat no04ch37601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 Asia-Pacific Radio Science Conference, 2004. Proceedings.",2,"2004 asiapacific radio science conference 2004 proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 IDEAS Workshop on Medical Information Systems: The Digital Hospital (IDEAS-DH'04)",2,"2004 ideas workshop on medical information systems digital hospital ideasdh04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 IEEE 35th Annual Power Electronics Specialists Conference (IEEE Cat. No.04CH37551)",44,"2004 ieee 35th annual power electronics specialists conference ieee cat no04ch37551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 IEEE International Conference on Communications (IEEE Cat. No.04CH37577)",2,"2004 ieee international conference on communications ieee cat no04ch37577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 IEEE International Conference on Electric Utility Deregulation, Restructuring and Power Technologies. Proceedings",5,"2004 ieee international conference on electric utility deregulation restructuring and power technologies proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 IEEE International Engineering Management Conference (IEEE Cat. No.04CH37574)",8,"2004 ieee international engineering management conference ieee cat no04ch37574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 International Conference on Image Processing, 2004. ICIP '04.",1,"2004 international conference on image processing 2004 icip 04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 International Conference on Power System Technology, 2004. PowerCon 2004.",4,"2004 international conference on power system technology 2004 powercon 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2004 International Conference on Probabilistic Methods Applied to Power Systems",2,"2004 international conference on probabilistic methods applied to power systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 4th International Symposium on Environmentally Conscious Design and Inverse Manufacturing",4,"2005 4th international symposium on environmentally conscious design and inverse manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 5th International Conference on Antenna Theory and Techniques",1,"2005 5th international conference on antenna ory and techniques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 Asian Conference on Sensors and the International Conference on New Techniques in Pharmaceutical and Biomedical Research",1,"2005 asian conference on sensors and international conference on new techniques in pharmaceutical and biomedical research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 ICSC Congress on Computational Intelligence Methods and Applications",1,"2005 icsc congress on computational intelligence methods and applications",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE 36th Power Electronics Specialists Conference",5,"2005 ieee 36th power electronics specialists conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE Antennas and Propagation Society International Symposium",1,"2005 ieee antennas and propagation society international symposium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE Computational Systems Bioinformatics Conference (CSB'05)",2,"2005 ieee computational systems bioinformatics conference csb05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE Computational Systems Bioinformatics Conference - Workshops (CSBW'05)",1,"2005 ieee computational systems bioinformatics conference workshops csbw05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE Engineering in Medicine and Biology 27th Annual Conference",222,"2005 ieee engineering in medicine and biology 27th annual conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE International Conference on Electro Information Technology",1,"2005 ieee international conference on electro information technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE International Conference on Industrial Technology",4,"2005 ieee international conference on industrial technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE International Conference on Services Computing (SCC'05) Vol-1",1,"2005 ieee international conference on services computing scc05 vol1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE International Conference on e-Technology, e-Commerce and e-Service",1,"2005 ieee international conference on etechnology ecommerce and eservice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE International Technology Management Conference (ICE)",3,"2005 ieee international technology management conference ice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE LEOS Annual Meeting Conference Proceedings",1,"2005 ieee leos annual meeting conference proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE Power Engineering Society Inaugural Conference and Exposition in Africa",1,"2005 ieee power engineering society inaugural conference and exposition in africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 IEEE Russia Power Tech",5,"2005 ieee russia power tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 International Conference on Future Power Systems",2,"2005 international conference on future power systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 International Conference on Information and Communication Technologies",8,"2005 international conference on information and communication technologies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 International Conference on Neural Networks and Brain",3,"2005 international conference on neural networks and brain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 International Conference on Wireless Networks, Communications and Mobile Computing",1,"2005 international conference on wireless networks communications and mobile computing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 International Power Engineering Conference",6,"2005 international power engineering conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005 Quantum Electronics and Laser Science Conference",4,"2005 quantum electronics and laser science conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2005/2006 IEEE/PES Transmission and Distribution Conference and Exhibition",3,"20052006 ieeepes transmission and distribution conference and exhibition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
